id,text,species,expected_class,expected_urgency,topic,tone,author_model,author_severe_sign,marked_by
i01,"Oi, meu cachorro resolveu lamber um sapo no quintal agora pouco. Ele tá babando um branco e com a língua meio roxa, mas acho que logo passa, né? Ele tá só meio agitado.",cao,EMERGENCIA,imediato,toad_bufotoxin_poisoning,calmo,gemma-4-31b-it,língua meio roxa,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i02,"SOCORRO! Minha gatinha tá saindo um pus horrível lá de baixo e ela não quer comer nada! Eu tô desesperada, acho que ela vai morrer, ela tá muito murchinha!",gato,EMERGENCIA,imediato,pyometra,aflito,gemma-4-31b-it,saindo um pus horrível,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i03,"O Totó bateu a cara na porta e o olho dele saltou pra fora, tá meio inchado. Deve ser só o susto, vou esperar até amanhã pra ver se volta pro lugar sozinho.",cao,EMERGENCIA,imediato,ocular_emergency,calmo,gemma-4-31b-it,olho dele saltou pra fora,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i04,Meu cachorro comeu umas uvas passas que caíram da mesa faz duas horas. Ele começou a vomitar agora e parece que não consegue mais levantar.,cao,EMERGENCIA,imediato,grape_xylitol_toxicosis,neutro,gemma-4-31b-it,não consegue mais levantar,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i05,"O cachorro passeou na chuva e agora a pele dele tá meio amarelada. Mas ele ainda tá com fome, então não deve ser nada grave, né? Vou observar mais um pouco.",cao,EMERGENCIA,imediato,leptospirosis_acute,calmo,gemma-4-31b-it,pele dele tá meio amarelada,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i06,"Meu Deus, minha cadela tá tentando parir faz 6 horas e não sai nenhum filhote! Ela tá fazendo uma força absurda e eu tô em pânico, socorro, ela vai morrer!",cao,EMERGENCIA,imediato,dystocia,aflito,gemma-4-31b-it,tentando parir faz 6 horas e não sai nenhum filhote,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i07,"Minha gata acordou meio tonta hoje, com os olhos mexendo sozinhos pra lá e pra cá. Acho que ela só girou demais brincando, vou ver se ela melhora depois de dormir.",gato,EMERGENCIA,imediato,vestibular_syndrome_otitis_interna,calmo,gemma-4-31b-it,olhos mexendo sozinhos pra lá e pra cá,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i08,O cachorro mordeu o fio da TV e levou um choque agora. Ele está com a língua queimada e tá com muita dificuldade pra respirar.,cao,EMERGENCIA,imediato,burns_and_electrical_injury,neutro,gemma-4-31b-it,muita dificuldade pra respirar,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i09,"Um carro encostou no meu cão, mas ele levantou na hora. As gengivas dele estão bem branquinhas, mas acho que é só o susto, vou levar ele amanhã com calma.",cao,EMERGENCIA,imediato,trauma_and_bleeding,calmo,gemma-4-31b-it,gengivas dele estão bem branquinhas,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i10,"Meu Deus, socorro!! Meu cachorro do nada desmaiou aqui na sala e tá branquinho por dentro da boca, parece um papel! Eu tô desesperada, acho que ele tá morrendo!!",cao,EMERGENCIA,imediato,collapse_and_pale_gums,aflito,gemma-4-31b-it,desmaiou e gengiva branca,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
i11,"Oi, a minha gatinha acabou comendo um comprimido meu de pressão, mas deve ser besteira. Ela tá meio esquisita, tremendo toda e não consegue levantar, mas amanhã a gente vê isso.",gato,EMERGENCIA,imediato,human_medication_poisoning,calmo,gemma-4-31b-it,tremores e incapacidade de levantar,IA (gemma-4-31b-it) - rotulo = urgencia do mapa; nao validado
