condicao,lote,atendente,id,esperado,previsto,justificativa
oraculo_academico,dev,llama3.2-3b,p19,EMERGENCIA,EMERGENCIA,"Sinais de alerta: tremendo, coração disparado, incontinência e possivelmente vômito e diarreia."
oraculo_academico,dev,llama3.2-3b,p20,EMERGENCIA,EMERGENCIA,"Sinal de risco à vida: gato caído sem vontade de andar e gengiva branca, indicando possivel anemia grave."
oraculo_academico,dev,llama3.2-3b,p21,EMERGENCIA,EMERGENCIA,"Sinal de Respiratory Distress em gato, com sinais de dificuldade respiratória e aumento da frequência respiratória."
oraculo_academico,dev,llama3.2-3b,p22,EMERGENCIA,EMERGENCIA,"Sinais de alerta: pernas se mexendo sozinhas, babuindade, urinação, movimentos explosivos, hipersalivação, miopatia, movimentos faciais anormais."
oraculo_academico,dev,llama3.2-3b,p23,EMERGENCIA,NAO_EMERGENCIA,"Sinal de sangramento, mas não há menção a perda significativa de sangue ou sintomas graves."
oraculo_academico,dev,llama3.2-3b,p24,EMERGENCIA,EMERGENCIA,"Sinal grave de obstrução urinária, com sintomas de dor e dificuldade para urinar."
oraculo_academico,dev,llama3.2-3b,p25,EMERGENCIA,EMERGENCIA,Sinal de sangue na diarreia e comportamento alterado
oraculo_academico,dev,llama3.2-3b,p26,EMERGENCIA,EMERGENCIA,"Sinais de risco à vida, como cambaleio, ofegamento intenso e língua vermelha escura, indicam necessidade de atendimento imediato."
oraculo_academico,dev,llama3.2-3b,p27,EMERGENCIA,EMERGENCIA,Sinal de risco à vida: barriga estufada e tentativa de vômito
oraculo_academico,dev,llama3.2-3b,p28,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente hipotermia, mas não há risco à vida ou sofrimento intenso."
oraculo_academico,dev,llama3.2-3b,p29,EMERGENCIA,EMERGENCIA,Sinal de dor intensa e incapacidade repentina
oraculo_academico,dev,llama3.2-3b,p30,EMERGENCIA,EMERGENCIA,Sangue saindo do nariz sem motivo é sinal de risco à vida
oraculo_academico,dev,llama3.2-3b,p31,EMERGENCIA,NAO_EMERGENCIA,"Sinais leves, possivelmente causados por medicamento não apropriado."
oraculo_academico,dev,llama3.2-3b,p32,EMERGENCIA,EMERGENCIA,Sinal de respiração ruidosa e edema facial indicam risco à vida.
