id,text,species,expected_class,expected_urgency,topic,confusion_pair_id,difficulty_tag,note,source_reference,marked_by,split
p01,"Meu cachorro achou uma isca perto do muro do quintal ontem à noite, e hoje de manhã ele começou a babar muito, tremer o corpo inteiro e teve uma convulsão agora há pouco.",cao,EMERGENCIA,imediato,carbamate_organophosphate_poisoning,,controle_emergencia,"Sinal claro de intoxicação por chumbinho/organofosforado com convulsão. Caso-âncora, sem ambiguidade — serve para conferir que o sistema não erra o óbvio.",mapa-de-assuntos.csv#carbamate_organophosphate_poisoning,"Ryu - provisório, aguardando validação de especialista",calibracao
p02,"Meu cachorro fica balançando a cabeça e coçando a orelha esquerda há uns dois dias, sem perder o equilíbrio nem cair pro lado, e está comendo e brincando normal.",cao,NAO_EMERGENCIA,rotina,otitis_externa_mild,p03,par_confuso,"Otite externa leve: mesma região (orelha/cabeça) do par grave p03, para testar se o sistema separa por gravidade e não por assunto anatômico.",mapa-de-assuntos.csv#otitis_externa_mild,"Ryu - provisório, aguardando validação de especialista",calibracao
p03,"De repente a cabeça do meu cachorro ficou torta pro lado, ele não consegue andar direito, fica cambaleando, e os olhos dele estão tremendo sem parar.",cao,EMERGENCIA,imediato,vestibular_syndrome_otitis_interna,p02,par_confuso,"Síndrome vestibular de início súbito. Par de confusão com p02: tutor leigo não distingue otite externa de vestibular, ambos envolvem cabeça/orelha/equilíbrio.",mapa-de-assuntos.csv#vestibular_syndrome_otitis_interna,"Ryu - provisório, aguardando validação de especialista",calibracao
p04,"Meu cachorro comeu um pedacinho de bolo de aniversário ontem à tarde sem eu ver, mas hoje ele está do jeito normal dele, comendo a ração e brincando o dia inteiro.",cao,NAO_EMERGENCIA,ate_24h,dietary_indiscretion_mild,p05,par_confuso,"Indiscrição alimentar sem sinal, substância não claramente tóxica e pouca quantidade. Par de confusão com p05: os dois começam com 'comeu/deram algo'.",mapa-de-assuntos.csv#dietary_indiscretion_mild,"Ryu - provisório, aguardando validação de especialista",calibracao
p05,"Minha esposa deu meio comprimido de dipirona pro meu gato porque achou que ele estava com dor, e agora, um tempo depois, ele está vomitando e a gengiva dele parece meio arroxeada.",gato,EMERGENCIA,imediato,human_medication_poisoning,p04,par_confuso,"Intoxicação por medicamento humano em gato, com sinal de gengiva arroxeada (hemólise/hipóxia). Par de confusão com p04: mesma abertura 'deram/comeu algo', desfecho oposto.",mapa-de-assuntos.csv#human_medication_poisoning,"Ryu - provisório, aguardando validação de especialista",calibracao
p06,"Meu gato vomitou uma bola de pelo hoje de manhã, foi só uma vez, e ele já voltou a comer normalmente e está brincando.",gato,NAO_EMERGENCIA,rotina,single_vomiting_or_mild_diarrhea,p07,alarme_leve,"Contém a palavra 'vomitou', que costuma puxar o modelo para emergência, mas é episódio único sem outros sinais. Testa se o sistema reage à palavra ou ao quadro.",mapa-de-assuntos.csv#single_vomiting_or_mild_diarrhea,"Ryu - provisório, aguardando validação de especialista",calibracao
p07,"Meu cachorro está bem paradinho, sem fazer escândalo, só que ele tentou vomitar várias vezes e não sai nada, e a barriga dele parece mais estufada do que o normal.",cao,EMERGENCIA,imediato,gastric_dilatation_volvulus,p06,calma_grave,"Suspeita de dilatação-torção gástrica descrita em tom calmo pelo tutor ('paradinho'), sem palavra de alarme. Par de confusão com p06: testa se o sistema julga pelo tom ou pelo quadro clínico.",mapa-de-assuntos.csv#gastric_dilatation_volvulus,"Ryu - provisório, aguardando validação de especialista",calibracao
p08,"Meu gato fica indo na caixinha de areia toda hora, fica um tempão fazendo força lá dentro e só sai bem pouquinho de xixi, e ele mia enquanto tenta.",gato,EMERGENCIA,imediato,urethral_obstruction,p09,par_confuso,"Obstrução uretral felina: esforço repetido com pouca urina e dor. Par de maior letalidade do mapa, junto com p09 — mesma queixa de 'ir na caixinha toda hora'.",mapa-de-assuntos.csv#urethral_obstruction,"Ryu - provisório, aguardando validação de especialista",calibracao
p09,"Meu gato está indo na caixinha de areia mais vezes que o normal nos últimos dois dias, mas sai bastante xixi de cada vez e ele não parece sentir dor nem fazer força.",gato,NAO_EMERGENCIA,ate_24h,inappropriate_urination_or_cystitis,p08,par_confuso,"Cistite/xixi fora do lugar sem esforço nem redução do volume urinado. Discriminador chave: sai quantidade normal de urina, ao contrário de p08.",mapa-de-assuntos.csv#inappropriate_urination_or_cystitis,"Ryu - provisório, aguardando validação de especialista",calibracao
p10,"Minha cadela não é castrada, teve o cio faz umas cinco semanas, e hoje percebi um corrimento com pus saindo pela vulva dela; ela está bebendo bastante água e sem ânimo nenhum.",cao,EMERGENCIA,imediato,pyometra,p11,par_confuso,"Piometra: corrimento purulento, poliúria/polidipsia e apatia após cio recente. Par de confusão com p11, mesma abertura 'cadela não castrada com sangramento/corrimento'.",mapa-de-assuntos.csv#pyometra,"Ryu - provisório, aguardando validação de especialista",calibracao
