condicao,lote,atendente,id,topico,tom,esperado,previsto,no_prompt,tempo_s
cot_e5_fichas_top3,calib,llama3.2-3b,p01,carbamate_organophosphate_poisoning,controle_emergencia,EMERGENCIA,EMERGENCIA,carbamate_organophosphate_poisoning;dietary_indiscretion_mild;rabies_exposure_wild_animal_bite,4.33
cot_e5_fichas_top3,calib,llama3.2-3b,p02,otitis_externa_mild,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,dietary_indiscretion_mild;seizures;polyuria_polydipsia_investigate,1.74
cot_e5_fichas_top3,calib,llama3.2-3b,p03,vestibular_syndrome_otitis_interna,par_confuso,EMERGENCIA,EMERGENCIA,vestibular_syndrome_otitis_interna;seizures;dietary_indiscretion_mild,2.32
cot_e5_fichas_top3,calib,llama3.2-3b,p04,dietary_indiscretion_mild,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,dietary_indiscretion_mild;polyuria_polydipsia_investigate;grape_xylitol_toxicosis,2.05
cot_e5_fichas_top3,calib,llama3.2-3b,p05,human_medication_poisoning,par_confuso,EMERGENCIA,EMERGENCIA,human_medication_poisoning;permethrin_toxicosis_cats;allium_toxicosis,2.27
cot_e5_fichas_top3,calib,llama3.2-3b,p06,single_vomiting_or_mild_diarrhea,alarme_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,single_vomiting_or_mild_diarrhea;dietary_indiscretion_mild;polyuria_polydipsia_investigate,7.49
cot_e5_fichas_top3,calib,llama3.2-3b,p07,gastric_dilatation_volvulus,calma_grave,EMERGENCIA,EMERGENCIA,gastric_dilatation_volvulus;dietary_indiscretion_mild;polyuria_polydipsia_investigate,5.55
cot_e5_fichas_top3,calib,llama3.2-3b,p08,urethral_obstruction,par_confuso,EMERGENCIA,EMERGENCIA,urethral_obstruction;inappropriate_urination_or_cystitis;polyuria_polydipsia_investigate,3.38
cot_e5_fichas_top3,calib,llama3.2-3b,p09,inappropriate_urination_or_cystitis,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,urethral_obstruction;inappropriate_urination_or_cystitis;polyuria_polydipsia_investigate,2.12
cot_e5_fichas_top3,calib,llama3.2-3b,p10,pyometra,par_confuso,EMERGENCIA,EMERGENCIA,pyometra;normal_estrus;diabetic_ketoacidosis,3.80
cot_e5_fichas_top3,calib,llama3.2-3b,p11,normal_estrus,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,pyometra;normal_estrus;allium_toxicosis,3.25
cot_e5_fichas_top3,calib,llama3.2-3b,p12,acute_hindlimb_paralysis,par_confuso,EMERGENCIA,EMERGENCIA,acute_hindlimb_paralysis;seizures;osteoarthritis_stiffness,6.13
cot_e5_fichas_top3,calib,llama3.2-3b,p13,osteoarthritis_stiffness,par_confuso,NAO_EMERGENCIA,EMERGENCIA,osteoarthritis_stiffness;dietary_indiscretion_mild;kennel_cough_mild,4.91
cot_e5_fichas_top3,calib,llama3.2-3b,p14,snake_and_scorpion_envenomation,fora_da_base,EMERGENCIA,EMERGENCIA,canine_heatstroke;seizures;flea_dermatitis_pruritus,3.64
cot_e5_fichas_top3,calib,llama3.2-3b,p15,,informacao_insuficiente,INCERTO,INCERTO,gastrointestinal_foreign_body;dystocia;vestibular_syndrome_otitis_interna,2.06
cot_e5_fichas_top3,calib,llama3.2-3b,p16,,fora_do_dominio_clinico,NAO_EMERGENCIA,INCERTO,dietary_indiscretion_mild;rabies_exposure_wild_animal_bite;chocolate_toxicosis,2.71
cot_e5_fichas_top3,calib,llama3.2-3b,p17,ocular_emergency,par_confuso,EMERGENCIA,EMERGENCIA,ocular_emergency;canine_heatstroke;mild_conjunctivitis,3.65
cot_e5_fichas_top3,calib,llama3.2-3b,p18,mild_conjunctivitis,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,mild_conjunctivitis;ocular_emergency;seizures,4.43
cot_e5_fichas_top3,calib,qwen3-8b,p01,carbamate_organophosphate_poisoning,controle_emergencia,EMERGENCIA,EMERGENCIA,carbamate_organophosphate_poisoning;dietary_indiscretion_mild;rabies_exposure_wild_animal_bite,4.52
cot_e5_fichas_top3,calib,qwen3-8b,p02,otitis_externa_mild,par_confuso,NAO_EMERGENCIA,INCERTO,dietary_indiscretion_mild;seizures;polyuria_polydipsia_investigate,5.69
cot_e5_fichas_top3,calib,qwen3-8b,p03,vestibular_syndrome_otitis_interna,par_confuso,EMERGENCIA,EMERGENCIA,vestibular_syndrome_otitis_interna;seizures;dietary_indiscretion_mild,6.07
cot_e5_fichas_top3,calib,qwen3-8b,p04,dietary_indiscretion_mild,par_confuso,NAO_EMERGENCIA,NAO_EMERGENCIA,dietary_indiscretion_mild;polyuria_polydipsia_investigate;grape_xylitol_toxicosis,3.60
cot_e5_fichas_top3,calib,qwen3-8b,p05,human_medication_poisoning,par_confuso,EMERGENCIA,EMERGENCIA,human_medication_poisoning;permethrin_toxicosis_cats;allium_toxicosis,5.38
cot_e5_fichas_top3,calib,qwen3-8b,p06,single_vomiting_or_mild_diarrhea,alarme_leve,NAO_EMERGENCIA,NAO_EMERGENCIA,single_vomiting_or_mild_diarrhea;dietary_indiscretion_mild;polyuria_polydipsia_investigate,3.50
cot_e5_fichas_top3,calib,qwen3-8b,p07,gastric_dilatation_volvulus,calma_grave,EMERGENCIA,EMERGENCIA,gastric_dilatation_volvulus;dietary_indiscretion_mild;polyuria_polydipsia_investigate,6.05
cot_e5_fichas_top3,calib,qwen3-8b,p08,urethral_obstruction,par_confuso,EMERGENCIA,EMERGENCIA,urethral_obstruction;inappropriate_urination_or_cystitis;polyuria_polydipsia_investigate,5.18
cot_e5_fichas_top3,calib,qwen3-8b,p09,inappropriate_urination_or_cystitis,par_confuso,NAO_EMERGENCIA,INCERTO,urethral_obstruction;inappropriate_urination_or_cystitis;polyuria_polydipsia_investigate,5.53
cot_e5_fichas_top3,calib,qwen3-8b,p10,pyometra,par_confuso,EMERGENCIA,EMERGENCIA,pyometra;normal_estrus;diabetic_ketoacidosis,6.08
