lote,id,gerador,tecnica,saida,inventa_sinal,perde_sinal,insere_diagnostico,insere_urgencia_juiz,insere_urgencia_regra,fala_conduta,especie_juiz,especie_regra,juiz
dev,p19,llama3.2:3b,reescrita,"Cachorro apresentando taquipneia e aumento da frequência cardíaca, após exposição a chocolate, com sinais de ansiedade e tremores.",taquipneia,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p19,llama3.2:3b,mq_reescrita,Sintomas de intoxicação por teobromina em cães Sinais de ansiedade e tremores em cães intoxicados por chocolate Aumento da frequência cardíaca e taquipneia em cães intoxicados por teobromina,taquipneia,,intoxicação por teobromina,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p19,llama3.2:3b,hyde_reescrita,"**Protocolo Clínico: Toxidez por Teobromina em Cachorro**  O cachorro apresenta quadro clínico caracterizado por taquipneia (respiração rápida e superficial), aumento da frequência cardíaca, sinais de ansiedade (comportamento agitado, latir) e tremores musculares. A exposição ao chocolate é considerada a causa provável, devido à presença de teobromina, uma substância tóxica para os animais. A conduta esperada inclui: avaliação clínica completa, incluindo exame físico e anamnese; coleta de amostras de fezes e urina para detecção de teobromina e outros produtos metabólicos; monitoramento cardíaco e respiratório; administração de suporte clínico, incluindo oxigênio, monitorização cardíaca e, se necessário, tratamento com medicamentos para controlar a ansiedade e a frequência cardíaca; e, se necessário, suporte hospitalar.",taquipneia;latir,,Toxidez por Teobromina,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p19,llama3.2:3b,mq_relato,sintomas de intoxicação por teobromina em cães quantidade de chocolate tóxica para cães por peso corporal conduta de emergência para intoxicação por chocolate em cães,,tremores;coração disparado,intoxicação por teobromina,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p19,llama3.2:3b,hyde_relato,"""Quadro clínico: Cachorro adulto, apresenta sintomas de ingestão de chocolate, com focinho sujo de cacao, tremores e aumento da frequência cardíaca. Possíveis causas: ingestão de chocolate contendo teobromina, que pode causar hipertensão arterial, taquicardia e tremores. A conduta esperada inclui: avaliação imediata da situação, observação da frequência cardíaca e pressão arterial, administração de um antídoto específico para a ingestão de chocolate (se disponível), monitoramento da conduta do animal, evitando o estresse e a atividade física intensa, e, se necessário, procedimento cirúrgico para remoção do chocolate da cavidade oral ou para tratamento de complicações cardíacas.""",hipertensão arterial;taquicardia,,hipertensão arterial,1,1,1,mantida,ok,gemini-3.1-flash-lite
dev,p20,llama3.2:3b,reescrita,"Gato com histórico de ingestão de coxinha com cebola, apresentando sintomas de paralisia, falta de mobilidade e descoloração da gengiva.",paralisia,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p20,llama3.2:3b,mq_reescrita,sintomas de paralisia em gatos devido à ingestão de coxinha com cebola efeitos da cebola no sistema nervoso feline tratamento para paralisia aguda em gatos devido à ingestão de alimentos crus,paralisia,gengiva clarinha,,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p20,llama3.2:3b,hyde_reescrita,"""Paralisia Gastrointestinal Aguda em Gatos: Coxinha com Cebola - Protocolo Clínico. O gato apresenta quadro clínico caracterizado por paralisia gastrointestinal aguda, manifestada por falta de mobilidade e vômitos, acompanhada de descoloração da gengiva e mucosa oral. A possibilidade de intoxicação por cebola, conhecida por causar envenenamento tóxico, é altamente suspeita. A conduta esperada inclui avaliação completa do animal, incluindo exame físico, radiografia abdominal e análise de sangue, além de medidas de suporte, como hidratação intravenosa e monitoramento cardíaco. O tratamento deve ser orientado para prevenir complicações, como insuficiência renal e hepática, e incluir suporte respiratório, se necessário. A administração de antidoto específico, como a dimexida, pode ser considerada em casos graves de envenenamento.""",paralisia gastrointestinal aguda;vômitos,,Paralisia Gastrointestinal Aguda;envenenamento tóxico;insuficiência renal;insuficiência hepática,1,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p20,llama3.2:3b,mq_relato,sintomas de ingestão de cebola em gatos efeitos da cebola no sistema nervoso de gatos causas possíveis de perda de apetite e mobilidade em gatos,perda de apetite,gengiva clarinha,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p20,llama3.2:3b,hyde_relato,"""Quadro Clínico: Gastroenterite Aguda com Lesão Gengival. O gato apresenta sintomas de gastroenterite aguda, caracterizados por perda de apetite, evitação de alimentação e falta de vontade de andar. Além disso, observa-se lesão gengival grave, com gengiva clara ou branca, indicativa de lesão ou infecção. Possíveis causas incluem ingestão de alimentos não digestíveis, como a coxinha com cebola, que pode causar irritação estomacal e lesão gengival. A conduta esperada inclui monitoramento cuidadoso, administração de antibióticos orais para prevenir infecções, e alimentação suave e fácil de digerir, com evitação de alimentos picantes ou difíceis de digerir.""",gastroenterite aguda;perda de apetite;lesão gengival,gengiva clarinha,Gastroenterite Aguda,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p21,llama3.2:3b,reescrita,"Gato apresentando respiração agitada, com boca aberta, e taquipneia, com frequência respiratória elevada e movimento torácico rápido, mesmo em repouso.",taquipneia,,,0,0,0,mantida,ok,gemini-3.1-flash-lite
dev,p21,llama3.2:3b,mq_reescrita,sintomas respiratórios agudos em gatos causas possíveis de respiração agitada em gatos tratamento veterinário para taquipneia em gatos,taquipneia,,,0,0,1,mantida,ok,gemini-3.1-flash-lite
dev,p21,llama3.2:3b,hyde_reescrita,"""Respiração agitada e taquipneia em gato: quadro clínico. O gato apresenta respiração agitada, com boca aberta e taquipneia, caracterizada por frequência respiratória elevada (≥20 respirações/min) e movimento torácico rápido, mesmo em repouso. Isso sugere uma condição respiratória aguda, como pneumonia, asma ou insuficiência cardíaca, e requer avaliação imediata com exame físico completo, radiografia torácica e, se necessário, análise de sangue para determinar a causa subjacente e iniciar tratamento adequado.""",taquipneia,,pneumonia;asma;insuficiência cardíaca,1,1,1,mantida,ok,gemini-3.1-flash-lite
