index,animal,relato,expected,predicted,correct,json_valid,source,raw_response
0,Dog,"Animal: Dog. Sintomas observados: Fever, Diarrhea, Vomiting, Weight Loss, Dehydration.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O animal apresenta sintomas graves como febre, diarreia, vômito e perda de peso, além de sinais de desidratação, o que indica uma condição médica grave e urgente."",
  ""sinais_de_alerta"": [""Fever"", ""Diarrhea"", ""Vomiting"", ""Weight Loss"", ""Dehydration""],
  ""recomendacao"": ""Levar imediatamente ao veterinário para avaliação e tratamento.""}"
1,Dog,"Animal: Dog. Sintomas observados: Fever, Diarrhea, Coughing, Tiredness, Pain.",EMERGENCIA,INCERTO,False,True,original,"{""classificacao"": ""INCERTO"", ""justificativa"": ""Falta de informações sobre a espécie e idade do animal, o que dificulta a classificação"", ""sinais_de_alerta"": [""Fever"", ""Diarrhea"", ""Coughing"", ""Tiredness"", ""Pain""], ""recomendacao"": ""Obter mais informações sobre a espécie e idade do animal antes de tomar qualquer medida""}"
2,Dog,"Animal: Dog. Sintomas observados: Fever, Diarrhea, Coughing, Vomiting, Appetite Loss.",EMERGENCIA,EMERGENCIA,True,True,original,"{
    ""classificacao"": ""EMERGENCIA"",
    ""justificativa"": ""O animal apresenta sintomas graves como febre e perda de apetite, indicando uma condição médica grave que requer atenção imediata."",
    ""sinais_de_alerta"": [""Fever"", ""Perda de apetite""],
    ""recomendacao"": ""Levar o animal a um veterinário o mais rápido possível para avaliação e tratamento.""}"
3,Dog,"Animal: Dog. Sintomas observados: Fever, Breathing Difficulty, Coughing, Lethargy, Sneezing.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""O relato do tutor apresenta sintomas graves como dificuldade respiratória e leite, que podem indicar uma condição médica séria, requerendo atenção veterinária imediata."",
  ""sinais_de_alerta"": [""Fever"", ""Breathing Difficulty"", ""Coughing"", ""Lethargy"", ""Sneezing""],
  ""recomendacao"": ""Ligar para um centro veterinário de emergência ou buscar atendimento médico veterinário imediatamente.""
}"
4,Dog,"Animal: Dog. Sintomas observados: Fever, Diarrhea, Coughing, Lethargy, Blue Eye.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""O animal apresenta sintomas graves como febre, diarreia e tosse, além de letargia e olho azul, indicando possíveis problemas respiratórios sérios ou infecções graves. Além disso, a presença de uma condição grave pode ser potencialmente fatais se não receberem o tratamento médico imediato"", ""sinais_de_alerta"": [""Fever"", ""Diarreia"", ""Coughing"", ""Lethargy"", ""Blue Eye""], ""recomendacao"": ""Levar o animal ao veterinário ou clínica mais próximo assim que possível.""}"
5,Dog,"Animal: Dog. Sintomas observados: Fever, Respiratory Distress, Seizuers, Hyperesthesia, Sudden Death.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas graves como respiratória distresse, convulsões e morte repentina indicam uma situação de emergência veterinária imediata."", ""sinais_de_alerta"": [""Respiratory Distress"", ""Seizurers"", ""Morte Súbita""], ""recomendacao"": ""Levar o animal a um centro veterinário especializado assim que possível.""}"
6,Dog,"Animal: Dog. Sintomas observados: Ulcers, Diarrhea, Poor Appetite, Tarry Stool, Enlarged Lymph Nodes.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""A presença de ulcerações, diarreia, falta de apetite, fezes cinzas e linfonodos enrugados indica uma condição grave que pode ser causada por várias doenças graves como a pancreatite aguda ou malnutrição. O animal precisa de atenção médica imediata."",
  ""sinais_de_alerta"": [""Ulcers"", ""Diarrhea"", ""Poor Appetite"", ""Tarry Stool"", ""Enlarged Lymph Nodes""],
  ""recomendacao"": ""Leve o animal ao veterinário o mais rápido possível""
}"
7,Dog,"Animal: Dog. Sintomas observados: Facial Swelling, Bloody Drool, Foul Breath, Unable To Eat, Lossened Teeth.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""Sintomas graves e possíveis causa de vida ameaçada ao animal."", ""sinais_de_alerta"": [""Facial Swelling"", ""Bloody Drool"", ""Foul Breath"", ""Unable To Eat"", ""Lossened Teeth""], ""recomendacao"": ""Levar imediatamente o animal a um veterinário especializado em emergências.""}"
8,Dog,"Animal: Dog. Sintomas observados: Fever, Breathing Difficulty, Thrist And Urination, Weight Loss, Enlarged Lymph Nodes Or Swelling.",EMERGENCIA,EMERGENCIA,True,True,original,"{""classificacao"": ""EMERGENCIA"", ""justificativa"": ""O relato inclui sintomas graves como dificuldade de respirar e enjoo, o que sugere uma condição médica grave. Além disso, a presença de linfadenite ou hiperplasia dos glândulos linfáticos pode indicar um problema de saúde sério."", ""sinais_de_alerta"": [""Dificuldade respiratória"", ""Linfinenidade"", ""Perda de peso"", ""Desidrata\u00e7\u00e3o""], ""recomendacao"": ""Ligar para um veterinário imediatamente e levantar o animal ao hospital veterinário.""}"
9,Dog,"Animal: Dog. Sintomas observados: Swelling On Leg, Painfull, Nasal Discharge, Broken Bones, Nasal Discharge.",EMERGENCIA,EMERGENCIA,True,True,original,"{
  ""classificacao"": ""EMERGENCIA"",
  ""justificativa"": ""Orelha ou lesão óssea são sintomas graves que podem indicar uma emergência veterinária."",
  ""sinais_de_alerta"": [
    ""Lesao ossea"",
    ""Dor""
  ],
  ""recomendacao"": ""Leve o animal a um veterinario imediatamente.""
}"
