id,quadro,sistema,especie,classe,urgencia,sinais_que_o_tutor_relata,discriminador,par_de_confusao,motivo,referencias,prioridade,etapa,cobertura,validacao,observacoes
chocolate_toxicosis,Intoxicacao por chocolate,toxicologico,cao,emergencia,imediato,comeu chocolate;tremendo;vomitando;agitado;coracao acelerado,"Que tipo de chocolate, quanto e qual o peso do cao? A dose decide, e o calculo e do veterinario",dietary_indiscretion_mild,"Na base desde o inicio; quarto toxico mais frequente no ASPCA (13,6%); limiares de teobromina bem estabelecidos",R12;R32;R11,A,1,sintetico,rascunho,Caso b01 da regua
allium_toxicosis,Intoxicacao por cebola e alho,toxicologico,ambos,emergencia,imediato,comeu cebola ou alho;sem energia;gengiva palida;urina escura,Comeu quanto e ha quanto tempo? Gengiva palida ou amarelada indica hemolise em curso,dietary_indiscretion_mild,Na base; o gato e mais suscetivel; registrado na casuistica de intoxicacoes felinas da USP,R21;R32,B,1,sintetico,rascunho,Caso b08 da regua; sinais podem demorar dias
respiratory_distress,Dificuldade respiratoria,respiratorio,ambos,emergencia,imediato,respirando com dificuldade;barriga subindo e descendo rapido;lingua ou gengiva roxa;pescoco esticado;gato de boca aberta,"Ha esforco para respirar, boca aberta ou lingua azulada? Nenhuma fonte consultada admite esperar",mild_upper_respiratory_signs,Na base; queixa numero 1 em gatos no pronto-socorro; primeiro item da lista da AAHA para tutores,R03;R09;R16;R10,A,1,sintetico,rascunho,"Caso b03 da regua; gato de boca aberta e sempre anormal. Brasil: racas braquicefalicas (bulldog, pug, shih tzu) descompensam no calor"
seizures,Convulsao,neurologico,ambos,emergencia,imediato,caiu de lado;tremendo;pedalando as patas;babando;fez xixi;nao responde,Perdeu a consciencia? Durou mais de 2 minutos? Repetiu? E a primeira vez?,tremors_without_seizure,Na base; nivel vermelho na Veterinary Triage List; entre as cinco queixas mais frequentes em caes,R01;R03;R10;R16,A,1,sintetico,rascunho,"Caso b04; primeira crise tratada como imediato (Cornell) e nao como observacao (PDSA). Brasil: em cao jovem nao vacinado, convulsao levanta cinomose"
trauma_and_bleeding,"Trauma, atropelamento e hemorragia",musculoesqueletico_e_trauma,ambos,emergencia,imediato,foi atropelado;caiu de altura;sangrando muito;nao para de sangrar;ferida funda;briga com outro animal,Houve impacto ou queda? O sangramento para com pressao? Apoia as quatro patas?,mild_lameness,Na base; entre as quatro queixas mais frequentes no pronto-socorro nas duas especies; subcategoria propria na VTL,R03;R01;R09;R08,A,1,sintetico,rascunho,Casos b06 e b13; gato que caiu e parece bem ainda precisa ir
urethral_obstruction,Obstrucao uretral,urinario,ambos,emergencia,imediato,vai na caixa e nao sai nada;faz forca;sai so gotinhas;chora quando tenta;lambe muito a regiao;barriga dura e dolorida,"Sai urina? Fazer forca repetidamente sem sair nada e emergencia; se sai um pouco, e outro quadro",inappropriate_urination_or_cystitis,"Na base, mas so com protocolo de gatos; urologico e a causa numero 1 em gatos no PS; morte possivel em menos de 24 a 48 horas",R03;R11;R16;R31,A,1,sintetico,rascunho,Cobertura so de gato: o caso b15 e cao macho e ficou sem documento
vomiting_and_diarrhea,Vomito e diarreia persistentes,digestivo,ambos,emergencia,imediato,vomitando varias vezes;diarreia com sangue;fezes muito fedidas;quietinho;nao levanta;nao bebe agua,Quantas vezes em 24 horas? Tem sangue? Esta prostrado ou desidratado? E filhote?,single_vomiting_or_mild_diarrhea,Na base; queixa numero 1 em caes no PS; diarreia sanguinolenta ou incontrolavel e nivel imediato no MSD,R03;R07;R15;R16,A,1,sintetico,rascunho,Caso b07; o par leve e o mais movimentado do mapa
canine_heatstroke,Intermacao (golpe de calor),ambiental,cao,emergencia,imediato,ficou no sol ou no carro;ofegante sem parar;muito quente ao toque;cambaleando;lingua vermelha escura,Houve exposicao a calor ou exercicio? A ofegacao para quando ele descansa na sombra?,exertional_panting_mild,"Paper experimental no repositorio; clima tropical e muitos braquicefalicos no Brasil; acima de 40,5 graus e nivel imediato no MSD",R07;R13;R16,B,1,fonte_encontrada,rascunho,Paper experimental sem aprovacao local; a rodada historica nao preservou inventario que demonstre indexacao
gastric_dilatation_volvulus,Dilatacao e torcao gastrica,digestivo,cao,emergencia,imediato,barriga muito inchada e dura;tentando vomitar e nao sai nada;inquieto;babando;anda de um lado para o outro,"Sai alguma coisa quando tenta vomitar, e a barriga esta estufada e dura?",single_vomiting_or_mild_diarrhea,Caso b12 da regua nao tem cobertura; a AAHA nomeia o quadro; janela de minutos a poucas horas,R09;R15;R18;R10,A,1,fonte_encontrada,rascunho,Racas grandes e de torax profundo
fading_neonate,Filhote recem-nascido que nao mama,neonatos_e_idosos,ambos,emergencia,imediato,filhote molinho;nao quer mamar;boca fria;chorando muito;parou de se mexer,Esta frio ao toque? Mama quando e oferecido? Quantas horas sem mamar?,,Caso b14; o declinio ocorre em horas e a fonte aberta cobre triade neonatal e sinais de risco,R34;R08;R11;R48,A,1,fonte_aprovada,validada:asavet:16/09,Nunca alimentar filhote frio: aquecer antes
